"sponsor_name","phase","trial_count","rank_within_phase"
Memorial Sloan Kettering Cancer Center,PHASE1,6,12
Celldex Therapeutics,PHASE1,5,14
Mayo Clinic,PHASE1,5,14
"Jiangsu Hansoh Pharmaceutical Co., Ltd.",PHASE1,5,14
Roswell Park Cancer Institute,PHASE1,5,14
Amgen,PHASE1,5,14
Washington University School of Medicine,PHASE1,5,14
M.D. Anderson Cancer Center,PHASE1,5,14
Bristol-Myers Squibb,PHASE1,4,21
"National Cancer Centre, Singapore",PHASE1,4,21
Emory University,PHASE1,4,21
Sanofi,PHASE1,4,21
Jonsson Comprehensive Cancer Center,PHASE1,3,25
Daiichi Sankyo,PHASE1,3,25
"Astellas Pharma Global Development, Inc.",PHASE1,3,25
Exelixis,PHASE1,3,25
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",PHASE1,3,25
"Qilu Pharmaceutical Co., Ltd.",PHASE1,3,25
"Jiangsu Simcere Pharmaceutical Co., Ltd.",PHASE1,3,25
Prelude Therapeutics,PHASE1,3,25
Seagen Inc.,PHASE1,3,25
Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,PHASE1,3,25
Tianjin Medical University Cancer Institute and Hospital,PHASE1,3,25
"Revolution Medicines, Inc.",PHASE1,3,25
"Immune Design, a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",PHASE1,3,25
BeOne Medicines,PHASE1,3,25
"University of Maryland, Baltimore",PHASE1,3,25
"Taiho Oncology, Inc.",PHASE1,3,25
Merrimack Pharmaceuticals,PHASE1,3,25
Celgene,PHASE1,3,25
Mirati Therapeutics Inc.,PHASE1,2,43
City of Hope Medical Center,PHASE1,2,43
Hansoh BioMedical R&D Company,PHASE1,2,43
University of Rochester,PHASE1,2,43
"Second Affiliated Hospital, School of Medicine, Zhejiang University",PHASE1,2,43
"Radiopharm Theranostics, Ltd",PHASE1,2,43
"Jacobio Pharmaceuticals Co., Ltd.",PHASE1,2,43
"Lyell Immunopharma, Inc.",PHASE1,2,43
University of Washington,PHASE1,2,43
"Arcus Biosciences, Inc.",PHASE1,2,43
"RemeGen Co., Ltd.",PHASE1,2,43
Blueprint Medicines Corporation,PHASE1,2,43
Yale University,PHASE1,2,43
Boehringer Ingelheim,PHASE1,2,43
Incyte Corporation,PHASE1,2,43
Beijing Pearl Biotechnology Limited Liability Company,PHASE1,2,43
"Alpha Biopharma (Jiangsu) Co., Ltd.",PHASE1,2,43
"Nuvectis Pharma, Inc.",PHASE1,2,43
Innovent Biologics (Suzhou) Co. Ltd.,PHASE1,2,43
Centre hospitalier de l'Université de Montréal (CHUM),PHASE1,2,43
University of Utah,PHASE1,2,43
Abramson Cancer Center at Penn Medicine,PHASE1,2,43
Massachusetts General Hospital,PHASE1,2,43
"Ono Pharmaceutical Co., Ltd.",PHASE1,2,43
"Sumitomo Pharma America, Inc.",PHASE1,2,43
UNC Lineberger Comprehensive Cancer Center,PHASE1,2,43
"Coherus Oncology, Inc.",PHASE1,2,43
Virginia Commonwealth University,PHASE1,2,43
"Sichuan Baili Pharmaceutical Co., Ltd.",PHASE1,2,43
"University Hospital, Ghent",PHASE1,2,43
St. Joseph's Healthcare Hamilton,PHASE1,2,43
"University of California, Davis",PHASE1,2,43
"Deciphera Pharmaceuticals, LLC",PHASE1,2,43
Shanghai Henlius Biotech,PHASE1,2,43
West China Hospital,PHASE1,2,43
Instil Bio,PHASE1,2,43
"Rutgers, The State University of New Jersey",PHASE1,2,43
"TheRas, Inc., d/b/a BBOT (BridgeBio Oncology Therapeutics)",PHASE1,2,43
"Megan Daly, MD",PHASE1,2,43
"Genor Biopharma Co., Ltd.",PHASE1,2,43
The Methodist Hospital Research Institute,PHASE1,2,43
Shiga University,PHASE1,2,43
"Allist Pharmaceuticals, Inc.",PHASE1,2,43
Jonathan Riess,PHASE1,2,43
University of Southern California,PHASE1,2,43
Biogen,PHASE1,2,43
University of Alabama at Birmingham,PHASE1,2,43
Morphotek,PHASE1,2,43
IDEAYA Biosciences,PHASE1,2,43
"GB006, Inc., a wholly owned subsidiary of Gossamer Bio, Inc.",PHASE1,1,92
Karolinska University Hospital,PHASE1,1,92
Halozyme Therapeutics,PHASE1,1,92
KaliVir Immunotherapeutics,PHASE1,1,92
"Juan LI, MD",PHASE1,1,92
"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",PHASE1,1,92
University of Zurich,PHASE1,1,92
"Jiesi Yingda Pharmaceutical Technology (Suzhou) Co., Ltd.",PHASE1,1,92
Heather Wakelee,PHASE1,1,92
"Hefei TG ImmunoPharma Co., Ltd.",PHASE1,1,92
Helix BioPharma Corporation,PHASE1,1,92
"University of Wisconsin, Madison",PHASE1,1,92
"Jiangsu HengRui Medicine Co., Ltd.",PHASE1,1,92
"Jiangsu Alphamab Biopharmaceuticals Co., Ltd",PHASE1,1,92
Henan Cancer Hospital,PHASE1,1,92
Jemincare,PHASE1,1,92
Jeffrey Clarke,PHASE1,1,92
Henan Medical University,PHASE1,1,92
Janux Therapeutics,PHASE1,1,92
"Janssen Research & Development, LLC",PHASE1,1,92
"IntoCell, Inc",PHASE1,1,92
"Inspirna, Inc.",PHASE1,1,92
"Innovent Biopharmaceutical Technology (Hangzhou) Co., LTD.",PHASE1,1,92
"Inhibrx Biosciences, Inc",PHASE1,1,92
"Infinity Pharmaceuticals, Inc.",PHASE1,1,92
Incyte Biosciences International Sàrl,PHASE1,1,92
