"nct_id","phase","overall_status","enrollment","sponsor_name"
NCT02737709,PHASE2,TERMINATED,51,Sun Yat-sen University
NCT00708812,PHASE2,COMPLETED,126,"Shandong Simcere-Medgenn Bio-pharmaceutical Co., Ltd"
NCT02186847,PHASE2,COMPLETED,170,NRG Oncology
NCT07098988,PHASE2,RECRUITING,107,CatalYm GmbH
NCT06114511,PHASE1/PHASE2,RECRUITING,98,"Sichuan Baili Pharmaceutical Co., Ltd."
NCT05183243,PHASE1,UNKNOWN,68,"Suzhou Genhouse Bio Co., Ltd."
NCT05397093,PHASE1,TERMINATED,1,Instil Bio
NCT04612673,PHASE2,UNKNOWN,33,"China Medical University, China"
NCT04248829,PHASE3,COMPLETED,393,Yuhan Corporation
NCT03732001,PHASE2,UNKNOWN,80,"China Medical University, China"
NCT06040541,PHASE1,RECRUITING,604,"Revolution Medicines, Inc."
NCT03829501,PHASE1/PHASE2,TERMINATED,222,Kymab Limited
NCT07038460,PHASE2,NOT_YET_RECRUITING,134,Wen-zhao ZHONG
NCT05741021,PHASE2,UNKNOWN,84,"Shandong New Time Pharmaceutical Co., LTD"
NCT06621563,PHASE1,RECRUITING,780,Hansoh BioMedical R&D Company
NCT03137264,,COMPLETED,44,AstraZeneca
NCT00050960,PHASE3,COMPLETED,612,Eisai Inc.
NCT03654027,PHASE2,UNKNOWN,84,First Affiliated Hospital of Guangxi Medical University
NCT03130764,PHASE2,WITHDRAWN,0,Columbia University
NCT04263051,PHASE2,COMPLETED,60,Centre Hospitalier Universitaire de Besancon
NCT05566223,PHASE1/PHASE2,WITHDRAWN,0,"Intima Bioscience, Inc."
NCT06943820,PHASE1/PHASE2,RECRUITING,230,Akeso
NCT00368992,PHASE2,COMPLETED,110,National Cancer Institute (NCI)
NCT03819387,PHASE1,COMPLETED,49,"Nitto BioPharma, Inc."
NCT00019006,PHASE1,COMPLETED,,National Cancer Institute (NCI)
NCT05123482,PHASE1/PHASE2,RECRUITING,460,AstraZeneca
NCT06333678,PHASE2,COMPLETED,10,Memorial Sloan Kettering Cancer Center
NCT07631299,EARLY_PHASE1,NOT_YET_RECRUITING,5,University of Oklahoma
NCT06382116,PHASE3,ACTIVE_NOT_RECRUITING,432,"Sichuan Baili Pharmaceutical Co., Ltd."
NCT04459663,PHASE2,UNKNOWN,50,"Li Zhang, MD"
NCT07323732,PHASE2,RECRUITING,25,Memorial Sloan Kettering Cancer Center
NCT01980472,PHASE2,UNKNOWN,50,Grupo de Investigación y Divulgación Oncológica
NCT03023904,PHASE2,WITHDRAWN,0,Vanderbilt-Ingram Cancer Center
NCT01951469,PHASE3,UNKNOWN,160,Sun Yat-sen University
NCT01104155,PHASE2,COMPLETED,123,Eisai Inc.
NCT06491862,,RECRUITING,250,AstraZeneca
NCT05299125,PHASE2,ACTIVE_NOT_RECRUITING,54,Latin American Cooperative Oncology Group
NCT01230710,PHASE4,COMPLETED,51,Hoffmann-La Roche
NCT03603262,PHASE1,UNKNOWN,85,"Nanjing Sanhome Pharmaceutical, Co., Ltd."
NCT02591615,PHASE2,COMPLETED,91,"Alliance Foundation Trials, LLC."
NCT07538804,PHASE1/PHASE2,RECRUITING,294,"Avistone Biotechnology Co., Ltd."
NCT01287962,PHASE3,UNKNOWN,480,Sun Yat-sen University
NCT00268255,PHASE1/PHASE2,WITHDRAWN,0,Barbara Ann Karmanos Cancer Institute
NCT04951648,PHASE3,UNKNOWN,220,"Jiangsu Hansoh Pharmaceutical Co., Ltd."
NCT03790228,PHASE1,UNKNOWN,43,Henan Cancer Hospital
NCT04102436,PHASE2,WITHDRAWN,0,National Cancer Institute (NCI)
NCT00777699,PHASE1,COMPLETED,80,Sanofi
NCT04743752,,UNKNOWN,200,Peking University First Hospital
NCT05925751,,UNKNOWN,100,"Shanghai Pulmonary Hospital, Shanghai, China"
NCT06254599,PHASE3,NOT_YET_RECRUITING,255,Shouyao Holdings (Beijing) Co. LTD
NCT01946490,,WITHDRAWN,0,Maastricht Radiation Oncology
NCT05110950,NA,UNKNOWN,306,Università Politecnica delle Marche
NCT05520099,,ACTIVE_NOT_RECRUITING,416,Elephas
NCT06090266,PHASE1/PHASE2,RECRUITING,168,"OncoResponse, Inc."
NCT04322578,PHASE2,UNKNOWN,120,Hunan Province Tumor Hospital
NCT02770014,PHASE2,TERMINATED,43,Dana-Farber Cancer Institute
NCT07518160,PHASE2,RECRUITING,35,"Shanghai Junshi Bioscience Co., Ltd."
NCT04146571,,AVAILABLE,,"Xcovery Holdings, Inc."
NCT05502237,PHASE3,ACTIVE_NOT_RECRUITING,1021,Gilead Sciences
NCT06858813,PHASE1,RECRUITING,232,AbbVie
NCT06581419,PHASE1/PHASE2,RECRUITING,78,"SUNHO（China）BioPharmaceutical CO., Ltd."
NCT04108026,PHASE2,COMPLETED,50,Intergroupe Francophone de Cancerologie Thoracique
NCT00409188,PHASE3,COMPLETED,1513,EMD Serono
NCT05910827,PHASE1/PHASE2,RECRUITING,398,Hummingbird Bioscience
NCT07373951,,ENROLLING_BY_INVITATION,380,Ming Yang
NCT03870464,,ACTIVE_NOT_RECRUITING,150,University of Southern Denmark
NCT01310036,PHASE2,COMPLETED,208,Hoffmann-La Roche
NCT00191139,PHASE2,COMPLETED,64,Eli Lilly and Company
NCT04066335,,UNKNOWN,1498,Samyang Biopharmaceuticals Corporation
NCT00654758,PHASE1,COMPLETED,33,AbbVie
NCT03573947,PHASE2,COMPLETED,46,Jeffrey Clarke
NCT06980272,PHASE3,RECRUITING,420,"Shenyang Sunshine Pharmaceutical Co., LTD."
NCT00776698,PHASE1,COMPLETED,1,Hoffmann-La Roche
NCT02929290,PHASE1,UNKNOWN,80,"Betta Pharmaceuticals Co., Ltd."
NCT04267237,PHASE2,WITHDRAWN,0,Hoffmann-La Roche
NCT00883480,NA,COMPLETED,153,Spanish Lung Cancer Group
NCT02695849,,COMPLETED,69,Hoffmann-La Roche
NCT01351415,PHASE3,COMPLETED,485,Hoffmann-La Roche
NCT02108964,PHASE1/PHASE2,COMPLETED,225,Novartis Pharmaceuticals
NCT02283320,PHASE2,COMPLETED,69,BIND Therapeutics
NCT00752115,PHASE2/PHASE3,COMPLETED,120,Hamamatsu University
NCT05100069,,RECRUITING,500,Takeda
NCT06472245,PHASE3,RECRUITING,363,OSE Immunotherapeutics
NCT02467569,PHASE1,TERMINATED,10,"Tianjin Hemay Pharmaceutical Co., Ltd"
NCT06868732,PHASE1,RECRUITING,288,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd"
NCT03348748,EARLY_PHASE1,TERMINATED,20,Roswell Park Cancer Institute
NCT00073151,PHASE2,COMPLETED,30,Abbott
NCT06492421,PHASE2,RECRUITING,90,Second Affiliated Hospital of Guangzhou Medical University
NCT05620199,NA,UNKNOWN,20,The Netherlands Cancer Institute
NCT03273790,,COMPLETED,939,Bristol-Myers Squibb
NCT06754930,PHASE1/PHASE2,RECRUITING,400,"Suzhou Suncadia Biopharmaceuticals Co., Ltd."
NCT02515760,NA,ACTIVE_NOT_RECRUITING,120,University Hospital Heidelberg
NCT04999761,PHASE1,RECRUITING,917,"Taiho Pharmaceutical Co., Ltd."
NCT07034365,,NOT_YET_RECRUITING,2000,Fudan University
NCT05442060,PHASE2,RECRUITING,60,"OBI Pharma, Inc"
NCT06734702,PHASE3,RECRUITING,497,Sun Yat-sen University
NCT04144582,PHASE2,COMPLETED,30,Yongchang Zhang
NCT03515837,PHASE3,COMPLETED,492,Merck Sharp & Dohme LLC
NCT01456325,PHASE3,COMPLETED,494,"Genentech, Inc."
NCT02085070,PHASE2,COMPLETED,65,Yale University
NCT07224152,PHASE1/PHASE2,RECRUITING,40,M.D. Anderson Cancer Center
NCT04852588,NA,RECRUITING,29,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's
NCT01808430,,COMPLETED,158,Ethicon Endo-Surgery (Europe) GmbH
NCT04889495,,WITHDRAWN,0,Pfizer
NCT07323056,PHASE2,RECRUITING,36,"Shanghai Pulmonary Hospital, Shanghai, China"
NCT00300729,PHASE3,UNKNOWN,319,"University Hospital, Linkoeping"
NCT06207292,NA,UNKNOWN,100,"Radiotherapy Oncology Centre ""Santa Maria"" Hospital"
NCT07412041,NA,NOT_YET_RECRUITING,20,Dana-Farber Cancer Institute
NCT02221739,PHASE1/PHASE2,COMPLETED,39,NYU Langone Health
NCT06567015,PHASE1/PHASE2,RECRUITING,171,Pierre Fabre Medicament
NCT03652077,PHASE1,COMPLETED,40,Incyte Corporation
NCT05094544,NA,WITHDRAWN,0,University of Kansas Medical Center
NCT06946836,PHASE2,NOT_YET_RECRUITING,80,"Shanghai Pulmonary Hospital, Shanghai, China"
NCT06088771,PHASE1/PHASE2,RECRUITING,21,Icahn School of Medicine at Mount Sinai
NCT02322281,PHASE3,TERMINATED,149,"Clovis Oncology, Inc."
NCT04677595,PHASE2,COMPLETED,36,Novartis Pharmaceuticals
NCT07150598,,NOT_YET_RECRUITING,500,Technische Universität Dresden
NCT05785767,PHASE2/PHASE3,ACTIVE_NOT_RECRUITING,149,Regeneron Pharmaceuticals
NCT07363811,,RECRUITING,50,Necmettin Erbakan University
NCT06706076,PHASE1/PHASE2,RECRUITING,266,BlossomHill Therapeutics
NCT06481566,NA,RECRUITING,30,Chongqing University Cancer Hospital
NCT03595644,PHASE2,COMPLETED,74,Tongji Hospital
NCT04994795,,ACTIVE_NOT_RECRUITING,4000,Sophia Genetics SAS
