"nct_id","phase","overall_status","enrollment","start_date"
NCT07551778,PHASE1/PHASE2,NOT_YET_RECRUITING,20,2026-05-31
NCT04643847,PHASE2,UNKNOWN,47,2020-11-30
NCT04094909,PHASE2,UNKNOWN,186,2020-02-06
NCT06962865,PHASE2,RECRUITING,80,2025-06-30
NCT00068003,,ENROLLING_BY_INVITATION,7000,2003-09-08
NCT01872403,PHASE2,UNKNOWN,120,2012-10-31
NCT07376512,,NOT_YET_RECRUITING,378,2026-03-01
NCT07613424,NA,RECRUITING,1000,2026-06-02
NCT05207371,PHASE1/PHASE2,UNKNOWN,38,2021-12-01
NCT01871454,PHASE2,UNKNOWN,59,2013-10-31
NCT00531934,PHASE2,COMPLETED,147,2007-10-31
NCT06103682,NA,RECRUITING,100,2023-10-05
NCT03936764,NA,COMPLETED,36,2019-05-07
NCT04158440,PHASE3,ACTIVE_NOT_RECRUITING,501,2020-04-07
NCT07294261,PHASE2,NOT_YET_RECRUITING,69,2025-12-23
NCT06846762,,RECRUITING,508,2025-03-01
NCT05254795,NA,ACTIVE_NOT_RECRUITING,659,2022-04-13
NCT03116633,,COMPLETED,34,2017-06-30
NCT04430933,PHASE1/PHASE2,WITHDRAWN,0,2021-12-06
NCT03417882,PHASE2,TERMINATED,20,2019-01-03
NCT03363139,,COMPLETED,72,2018-03-01
NCT05512429,,COMPLETED,83,2019-01-01
NCT00188279,PHASE2,COMPLETED,311,2005-06-21
NCT04596033,PHASE1,TERMINATED,49,2020-11-11
NCT05769959,PHASE1,TERMINATED,3,2023-06-15
NCT07190248,PHASE3,RECRUITING,675,2025-10-08
NCT00490659,PHASE2,COMPLETED,13,2003-09-30
NCT05424029,,RECRUITING,200,2022-06-14
NCT02639234,PHASE2,WITHDRAWN,0,2016-03-31
NCT05925530,PHASE2,ACTIVE_NOT_RECRUITING,142,2024-02-22
NCT06686771,PHASE3,RECRUITING,320,2025-12-16
NCT07159646,NA,NOT_YET_RECRUITING,10,2025-10-31
NCT05425134,,UNKNOWN,5000,2022-01-01
NCT02710565,NA,COMPLETED,22,2016-02-29
NCT00994097,PHASE2,COMPLETED,121,2009-07-31
NCT00874107,PHASE2,COMPLETED,90,2009-06-30
NCT04937972,PHASE2,UNKNOWN,71,2021-07-01
NCT07432308,NA,COMPLETED,22,2024-02-01
NCT06332131,,ENROLLING_BY_INVITATION,25,2025-01-15
NCT04390984,PHASE1,UNKNOWN,22,2020-05-26
NCT03556228,PHASE1/PHASE2,RECRUITING,242,2018-06-08
NCT07376382,PHASE3,NOT_YET_RECRUITING,680,2026-06-01
NCT06523673,PHASE3,RECRUITING,104,2024-09-30
NCT00901537,PHASE1,TERMINATED,8,2009-02-28
NCT06026410,PHASE1,RECRUITING,300,2023-10-18
NCT04316351,PHASE2,UNKNOWN,60,2020-04-01
NCT07617389,PHASE3,NOT_YET_RECRUITING,358,2026-05-20
NCT04870190,PHASE3,UNKNOWN,232,2021-06-01
NCT00409006,PHASE2,COMPLETED,70,2007-02-28
NCT04147351,PHASE2,COMPLETED,22,2020-04-10
NCT01026844,PHASE1,TERMINATED,27,2007-07-31
NCT06996782,PHASE1/PHASE2,RECRUITING,152,2025-11-24
NCT01333007,,COMPLETED,423,2010-07-31
NCT03718117,,COMPLETED,73,2017-01-03
NCT02728596,NA,COMPLETED,3665,2016-10-07
NCT04982224,PHASE1,TERMINATED,30,2021-11-09
NCT00118183,PHASE2,COMPLETED,62,2005-07-31
NCT05577052,NA,UNKNOWN,100,2022-10-30
NCT06987734,PHASE2,RECRUITING,25,2025-06-19
NCT03258788,,COMPLETED,15,2019-01-03
NCT02392507,PHASE2,COMPLETED,54,2015-10-12
NCT00138658,PHASE1/PHASE2,COMPLETED,85,2004-11-30
NCT01625234,PHASE1/PHASE2,COMPLETED,131,2012-06-30
NCT01529112,PHASE2,COMPLETED,135,2011-11-30
NCT00294736,PHASE1,COMPLETED,57,2005-11-30
NCT03664024,PHASE2,COMPLETED,118,2018-10-30
NCT07472478,PHASE2,NOT_YET_RECRUITING,32,2026-03-15
NCT06644495,,NOT_YET_RECRUITING,1000,2024-12-31
NCT00533429,PHASE2,COMPLETED,40,2007-10-31
NCT06110663,PHASE3,UNKNOWN,314,2023-12-30
NCT03906071,PHASE3,COMPLETED,577,2019-07-15
NCT00903942,PHASE2,WITHDRAWN,0,2008-03-31
NCT03231475,PHASE1,WITHDRAWN,0,2017-07-21
NCT02581943,PHASE2,COMPLETED,43,2016-06-17
NCT01574729,PHASE2,UNKNOWN,120,2012-08-31
NCT01112631,,COMPLETED,293,2003-04-30
NCT03647111,,UNKNOWN,120,2018-01-01
NCT06643910,NA,NOT_YET_RECRUITING,12,2024-10-24
NCT03998085,NA,UNKNOWN,40,2019-03-05
NCT04644237,PHASE2,COMPLETED,152,2021-03-19
NCT06496490,PHASE2,RECRUITING,270,2024-08-06
NCT05288205,PHASE1/PHASE2,RECRUITING,240,2022-04-14
